normalized_player,bet_type,player,DraftKings_Odds,FanDuel_Odds,value,value_book,value_odds,value_flag
Addison Barger,1+ HR,Addison Barger,+450,+480,1.0666666666666667,FanDuel_Odds,480,FALSE
Alec Burleson,1+ HR,Alec Burleson,+380,+430,1.131578947368421,FanDuel_Odds,430,TRUE
Ben Williamson,1+ HR,Ben Williamson,+900,+900,1.0,DraftKings_Odds,900,FALSE
Bo Bichette,1+ HR,Bo Bichette,+650,+680,1.0461538461538462,FanDuel_Odds,680,FALSE
Brice Matthews,1+ HR,Brice Matthews,+550,+560,1.018181818181818,FanDuel_Odds,560,FALSE
Brent Rooker,1+ HR,Brent Rooker,+350,+350,1.0,DraftKings_Odds,350,FALSE
Brendan Donovan,1+ HR,Brendan Donovan,+500,+630,1.26,FanDuel_Odds,630,TRUE
Bryce Johnson,1+ HR,Bryce Johnson,,+1100,None,None,None,None
Cal Raleigh,1+ HR,Cal Raleigh,+190,+210,1.105263157894737,FanDuel_Odds,210,TRUE
Cam Smith,1+ HR,Cam Smith,+550,+680,1.2363636363636363,FanDuel_Odds,680,TRUE
Carlos Cortes,1+ HR,Carlos Cortes,,+750,None,None,None,None
Christian Walker,1+ HR,Christian Walker,+275,+350,1.2727272727272727,FanDuel_Odds,350,TRUE
Colt Keith,1+ HR,Colt Keith,+700,+630,1.1111111111111112,DraftKings_Odds,700,TRUE
