event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Threes,1,,,,-270.0,,,,110.0,HardRockBet,110.0,2.1,1.3703703703703702,1.5324324324324325
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Rebounds,7,,,,1120.0,,,,1750.0,HardRockBet,1750.0,18.5,12.2,1.5163934426229508
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Points,35,,,2500.0,4600.0,,3500.0,,3000.0,DraftKings,4600.0,47.0,31.0,1.5161290322580645
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Assists,4,,,,630.0,,,,1000.0,HardRockBet,1000.0,11.0,7.3,1.5068493150684932
Atlanta Hawks @ Utah Jazz,Keyonte George,Assists,12,,,,2000.0,,1400.0,,1200.0,DraftKings,2000.0,21.0,14.0,1.5
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Assists,10,800.0,,700.0,1140.0,,700.0,750.0,,DraftKings,1140.0,12.4,8.375,1.480597014925373
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Points,35,,,2100.0,3600.0,2000.0,2500.0,,3000.0,DraftKings,3600.0,37.0,25.0,1.48
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Threes,5,,,1400.0,2600.0,1600.0,1900.0,,2000.0,DraftKings,2600.0,27.0,18.25,1.4794520547945205
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Points,20,,,1200.0,1820.0,,1200.0,,,DraftKings,1820.0,19.2,13.0,1.4769230769230768
Atlanta Hawks @ Utah Jazz,Keyonte George,Threes,7,,,3000.0,,,,,2000.0,Bovada,3000.0,31.0,21.0,1.4761904761904763
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Threes,7,,,3000.0,,,,,2000.0,Bovada,3000.0,31.0,21.0,1.4761904761904763
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Threes,7,,,3000.0,,,,,2000.0,Bovada,3000.0,31.0,21.0,1.4761904761904763
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Rebounds,12,,,,,,1500.0,,2250.0,HardRockBet,2250.0,23.5,16.0,1.46875
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Rebounds,7,,,750.0,1020.0,,,800.0,1300.0,HardRockBet,1300.0,14.0,9.566666666666666,1.4634146341463414
