event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Points,20,875.0,,675.0,690.0,700.0,750.0,500.0,750.0,BetMGM,875.0,9.75,7.7749999999999995,1.2540192926045017
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Assists,8,,215.0,,325.0,,265.0,240.0,,DraftKings,325.0,4.25,3.4,1.25
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Threes,6,,,2100.0,2900.0,,2500.0,,,DraftKings,2900.0,30.0,24.0,1.25
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Rebounds,10,,,1900.0,,,1500.0,,,Bovada,1900.0,20.0,16.0,1.25
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Assists,4,,,,156.0,,,,220.0,HardRockBet,220.0,3.2,2.56,1.25
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Threes,3,600.0,,450.0,,,470.0,,,BetMGM,600.0,7.0,5.6,1.25
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Assists,3,,,,240.0,,,320.0,375.0,HardRockBet,375.0,4.75,3.8,1.25
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Assists,4,,,,191.0,,,170.0,250.0,HardRockBet,250.0,3.5,2.805,1.2477718360071302
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Rebounds,6,,,,488.0,,520.0,375.0,600.0,HardRockBet,600.0,7.0,5.609999999999999,1.2477718360071302
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Double-Double,Yes,,,650.0,750.0,,700.0,425.0,550.0,DraftKings,750.0,8.5,6.8125,1.2477064220183487
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Points,30,,,1100.0,1520.0,1100.0,1200.0,,1400.0,DraftKings,1520.0,16.2,13.0,1.2461538461538462
Atlanta Hawks @ Utah Jazz,Ace Bailey,Assists,4,,,,524.0,,,320.0,550.0,HardRockBet,550.0,6.5,5.220000000000001,1.2452107279693485
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Rebounds,16,,,,990.0,,1200.0,900.0,,FanDuel,1200.0,13.0,10.45,1.244019138755981
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Points,30,,,1900.0,3300.0,,3000.0,,3000.0,DraftKings,3300.0,34.0,27.333333333333332,1.2439024390243902
Indiana Pacers @ Phoenix Suns,T.J. McConnell,Points,25,,,2800.0,,3500.0,,,,ESPNBET,3500.0,36.0,29.0,1.2413793103448276
Atlanta Hawks @ Utah Jazz,Ace Bailey,Double-Double,Yes,,,1100.0,1480.0,,1100.0,1200.0,1300.0,DraftKings,1480.0,15.8,12.75,1.2392156862745098
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Assists,7,475.0,,525.0,690.0,,,500.0,650.0,DraftKings,690.0,7.9,6.375,1.2392156862745098
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,3,210.0,135.0,155.0,154.0,,172.0,,135.0,BetMGM,210.0,3.1,2.502,1.2390087929656277
Indiana Pacers @ Phoenix Suns,Devin Booker,Rebounds,10,,,2000.0,,2500.0,,,,ESPNBET,2500.0,26.0,21.0,1.2380952380952381
Indiana Pacers @ Phoenix Suns,Grayson Allen,Assists,10,,,2500.0,,,2000.0,,,Bovada,2500.0,26.0,21.0,1.2380952380952381
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Assists,8,,,,900.0,,1200.0,,1000.0,FanDuel,1200.0,13.0,10.5,1.2380952380952381
Indiana Pacers @ Phoenix Suns,Jarace Walker,Rebounds,10,,,2000.0,,1600.0,,,,Bovada,2000.0,21.0,17.0,1.2352941176470589
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Points,25,950.0,,700.0,940.0,,870.0,900.0,1100.0,HardRockBet,1100.0,12.0,9.719999999999999,1.234567901234568
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Rebounds,3,,,,-161.0,,,,100.0,HardRockBet,100.0,2.0,1.62111801242236,1.2337164750957856
Indiana Pacers @ Phoenix Suns,Devin Booker,Rebounds,7,375.0,,425.0,501.0,,,375.0,375.0,DraftKings,501.0,6.01,4.875,1.2328205128205127
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Rebounds,8,,,,620.0,650.0,750.0,500.0,,FanDuel,750.0,8.5,6.8999999999999995,1.2318840579710146
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Rebounds,14,,,,990.0,,870.0,700.0,,DraftKings,990.0,10.9,8.85,1.2316384180790962
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Rebounds,5,270.0,,215.0,225.0,,,190.0,300.0,HardRockBet,300.0,4.0,3.25,1.2307692307692308
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Points,25,650.0,,525.0,456.0,550.0,560.0,425.0,550.0,BetMGM,650.0,7.5,6.109999999999999,1.2274959083469723
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Threes,5,390.0,275.0,305.0,316.0,,350.0,,250.0,BetMGM,390.0,4.9,3.992,1.2274549098196395
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Rebounds,10,550.0,,575.0,482.0,,450.0,320.0,,Bovada,575.0,6.75,5.505,1.226158038147139
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Threes,5,,,2200.0,2900.0,,2500.0,,,DraftKings,2900.0,30.0,24.5,1.2244897959183674
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Rebounds,5,400.0,,305.0,392.0,,,300.0,450.0,HardRockBet,450.0,5.5,4.4925,1.2242626599888704
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Points,20,400.0,265.0,275.0,352.0,,310.0,300.0,350.0,BetMGM,400.0,5.0,4.086666666666667,1.2234910277324633
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Rebounds,12,,,,244.0,,,210.0,300.0,HardRockBet,300.0,4.0,3.27,1.2232415902140672
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Threes,6,,,1700.0,2100.0,,1700.0,,,DraftKings,2100.0,22.0,18.0,1.2222222222222223
Indiana Pacers @ Phoenix Suns,Grayson Allen,Threes,5,165.0,163.0,180.0,182.0,180.0,200.0,,240.0,HardRockBet,240.0,3.4,2.783333333333333,1.221556886227545
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Double-Double,Yes,,,900.0,1120.0,,900.0,,,DraftKings,1120.0,12.2,10.0,1.22
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Rebounds,4,,132.0,,171.0,175.0,180.0,155.0,220.0,HardRockBet,220.0,3.2,2.626,1.2185833968012187
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Assists,4,,,,435.0,,,350.0,500.0,HardRockBet,500.0,6.0,4.925,1.218274111675127
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Rebounds,10,775.0,,900.0,1100.0,1000.0,1000.0,750.0,,DraftKings,1100.0,12.0,9.85,1.218274111675127
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Points,20,,,1100.0,1440.0,,1100.0,,1500.0,HardRockBet,1500.0,16.0,13.133333333333333,1.218274111675127
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Double-Double,Yes,,,2200.0,,,2700.0,,,FanDuel,2700.0,28.0,23.0,1.2173913043478262
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Steals,4,,,,1140.0,,920.0,,,DraftKings,1140.0,12.4,10.2,1.215686274509804
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Assists,10,,,1200.0,1480.0,,1200.0,,,DraftKings,1480.0,15.8,13.0,1.2153846153846155
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Assists,4,,,,1300.0,,,,1600.0,HardRockBet,1600.0,17.0,14.0,1.2142857142857142
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Assists,10,650.0,,575.0,499.0,,500.0,500.0,,BetMGM,650.0,7.5,6.1850000000000005,1.2126111560226354
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Assists,4,,,,250.0,,,210.0,300.0,HardRockBet,300.0,4.0,3.3,1.2121212121212122
Indiana Pacers @ Phoenix Suns,Grayson Allen,Threes,7,,,750.0,810.0,800.0,870.0,,1000.0,HardRockBet,1000.0,11.0,9.075,1.2121212121212122
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Assists,12,,,,1120.0,,870.0,850.0,1000.0,DraftKings,1120.0,12.2,10.066666666666666,1.2119205298013245
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Double-Double,Yes,,,1700.0,2300.0,,1700.0,,2250.0,DraftKings,2300.0,24.0,19.833333333333332,1.2100840336134455
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Threes,4,675.0,,650.0,890.0,800.0,750.0,,,DraftKings,890.0,9.9,8.1875,1.2091603053435116
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Rebounds,7,300.0,,225.0,249.0,,,225.0,225.0,BetMGM,300.0,4.0,3.31,1.2084592145015105
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Assists,6,,,,514.0,,560.0,425.0,400.0,FanDuel,560.0,6.6,5.463333333333334,1.2080536912751676
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Assists,10,360.0,240.0,300.0,291.0,285.0,280.0,290.0,,BetMGM,360.0,4.6,3.81,1.2073490813648293
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Rebounds,10,600.0,,550.0,730.0,,600.0,600.0,,DraftKings,730.0,8.3,6.875,1.2072727272727273
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Threes,5,500.0,,600.0,760.0,,700.0,,650.0,DraftKings,760.0,8.6,7.125,1.207017543859649
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Assists,7,125.0,,130.0,179.0,,,140.0,130.0,DraftKings,179.0,2.79,2.3125,1.2064864864864866
Atlanta Hawks @ Utah Jazz,Keyonte George,Points,25,300.0,190.0,220.0,255.0,,255.0,230.0,240.0,BetMGM,300.0,4.0,3.3166666666666664,1.206030150753769
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Threes,5,,,1000.0,1240.0,,1200.0,,1400.0,HardRockBet,1400.0,15.0,12.466666666666667,1.2032085561497325
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Double-Double,Yes,1250.0,,1200.0,1500.0,,1200.0,1000.0,1500.0,DraftKings,1500.0,16.0,13.3,1.2030075187969924
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Rebounds,10,775.0,,550.0,680.0,,630.0,650.0,,BetMGM,775.0,8.75,7.275,1.2027491408934707
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Rebounds,5,333.0,,305.0,412.0,,,340.0,,DraftKings,412.0,5.12,4.26,1.2018779342723005
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Rebounds,3,,,,129.0,,,,175.0,HardRockBet,175.0,2.75,2.29,1.2008733624454149
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Threes,7,,,1200.0,1580.0,,1500.0,,1200.0,DraftKings,1580.0,16.8,14.0,1.2
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Rebounds,14,,,,,1400.0,1700.0,,,FanDuel,1700.0,18.0,15.0,1.2
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Threes,7,,,1200.0,1540.0,,1300.0,,1300.0,DraftKings,1540.0,16.4,13.666666666666666,1.2
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Rebounds,6,,210.0,,305.0,,340.0,290.0,,FanDuel,340.0,4.4,3.6833333333333336,1.1945701357466063
Atlanta Hawks @ Utah Jazz,Onyeka Okongwu,Points,25,650.0,,,584.0,,,475.0,525.0,BetMGM,650.0,7.5,6.28,1.1942675159235667
Atlanta Hawks @ Utah Jazz,Ace Bailey,Assists,3,,,,201.0,,,135.0,220.0,HardRockBet,220.0,3.2,2.6799999999999997,1.1940298507462688
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Steals,2,,235.0,,300.0,,,,,DraftKings,300.0,4.0,3.35,1.1940298507462686
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Threes,7,,,575.0,610.0,,700.0,,525.0,FanDuel,700.0,8.0,6.7,1.1940298507462686
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Threes,7,,,2500.0,,,3000.0,,,FanDuel,3000.0,31.0,26.0,1.1923076923076923
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Assists,12,,,,,,2500.0,,3000.0,HardRockBet,3000.0,31.0,26.0,1.1923076923076923
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Points,25,,,3000.0,,2500.0,,,,Bovada,3000.0,31.0,26.0,1.1923076923076923
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Rebounds,7,,,475.0,600.0,,,500.0,,DraftKings,600.0,7.0,5.875,1.1914893617021276
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Rebounds,5,200.0,,250.0,302.0,,,240.0,260.0,DraftKings,302.0,4.02,3.375,1.191111111111111
Indiana Pacers @ Phoenix Suns,Jarace Walker,Threes,5,,,2000.0,2400.0,2000.0,,,,DraftKings,2400.0,25.0,21.0,1.1904761904761905
Atlanta Hawks @ Utah Jazz,Brice Sensabaugh,Assists,3,,,,467.0,,,,575.0,HardRockBet,575.0,6.75,5.67,1.1904761904761905
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Steals,1,,-167.0,,-304.0,-285.0,-280.0,,,BetRivers,-167.0,1.5988023952095807,1.345655806182122,1.1881213515852045
Indiana Pacers @ Phoenix Suns,Devin Booker,Points,45,,,1100.0,1240.0,1400.0,1500.0,,,FanDuel,1500.0,16.0,13.466666666666667,1.188118811881188
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Threes,7,,,1400.0,1740.0,1400.0,1400.0,,1600.0,DraftKings,1740.0,18.4,15.5,1.1870967741935483
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Threes,4,210.0,260.0,260.0,321.0,,290.0,,,DraftKings,321.0,4.21,3.5500000000000003,1.1859154929577465
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Points,25,360.0,295.0,375.0,405.0,375.0,400.0,340.0,450.0,HardRockBet,450.0,5.5,4.642857142857143,1.1846153846153846
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Rebounds,12,,185.0,,172.0,,235.0,175.0,200.0,FanDuel,235.0,3.35,2.83,1.1837455830388692
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,4,,,,-131.0,,,-115.0,115.0,HardRockBet,115.0,2.15,1.8164619980086292,1.1836195870637676
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Assists,4,,245.0,,348.0,,300.0,270.0,300.0,DraftKings,348.0,4.48,3.7875,1.1828382838283829
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Assists,10,875.0,,800.0,950.0,,680.0,800.0,,DraftKings,950.0,10.5,8.8875,1.1814345991561181
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Blocks,2,,255.0,,181.0,,220.0,,,BetRivers,255.0,3.55,3.005,1.1813643926788686
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Points,25,,,450.0,450.0,,520.0,350.0,450.0,FanDuel,520.0,6.2,5.25,1.180952380952381
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Assists,7,1000.0,,950.0,1080.0,,,900.0,750.0,DraftKings,1080.0,11.8,10.0,1.1800000000000002
Toronto Raptors @ Cleveland Cavaliers,Darius Garland,Rebounds,6,,,,920.0,,830.0,700.0,,DraftKings,920.0,10.2,8.65,1.1791907514450866
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Points,15,360.0,290.0,330.0,410.0,,370.0,270.0,375.0,DraftKings,410.0,5.1,4.325,1.1791907514450866
Atlanta Hawks @ Utah Jazz,Keyonte George,Threes,5,,,850.0,1000.0,,1000.0,,650.0,DraftKings,1000.0,11.0,9.333333333333334,1.1785714285714286
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Rebounds,8,,195.0,,233.0,250.0,285.0,230.0,,FanDuel,285.0,3.85,3.2700000000000005,1.1773700305810395
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Assists,6,,,,532.0,,540.0,350.0,450.0,FanDuel,540.0,6.4,5.44,1.1764705882352942
Atlanta Hawks @ Utah Jazz,Keyonte George,Rebounds,6,,260.0,,400.0,,340.0,300.0,400.0,DraftKings,400.0,5.0,4.25,1.1764705882352942
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Rebounds,5,180.0,,215.0,151.0,,,185.0,155.0,Bovada,215.0,3.15,2.6775,1.176470588235294
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Points,20,,,950.0,1200.0,,1060.0,,,DraftKings,1200.0,13.0,11.05,1.176470588235294
Atlanta Hawks @ Utah Jazz,Ace Bailey,Threes,3,,,,389.0,,,,475.0,HardRockBet,475.0,5.75,4.890000000000001,1.1758691206543965
Toronto Raptors @ Cleveland Cavaliers,Sandro Mamukelashvili,Rebounds,6,,,,,,235.0,185.0,,FanDuel,235.0,3.35,2.85,1.1754385964912282
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Threes,5,500.0,,600.0,740.0,700.0,700.0,,575.0,DraftKings,740.0,8.4,7.15,1.1748251748251748
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Blocks,1,,145.0,,118.0,120.0,-114.0,,,BetRivers,145.0,2.45,2.0857309941520468,1.174648124264005
Indiana Pacers @ Phoenix Suns,Jarace Walker,Points,20,,,1000.0,1080.0,1200.0,1300.0,,,FanDuel,1300.0,14.0,11.933333333333332,1.1731843575418996
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Points,25,600.0,,600.0,740.0,,630.0,600.0,650.0,DraftKings,740.0,8.4,7.159999999999999,1.1731843575418996
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Points,30,,,850.0,860.0,,1060.0,,1100.0,HardRockBet,1100.0,12.0,10.233333333333334,1.1726384364820845
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Points,25,310.0,220.0,240.0,253.0,,280.0,230.0,275.0,BetMGM,310.0,4.1,3.4966666666666666,1.1725452812202097
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Rebounds,8,,,,650.0,600.0,560.0,425.0,575.0,DraftKings,650.0,7.5,6.4,1.171875
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Threes,2,,,,348.0,,,,425.0,HardRockBet,425.0,5.25,4.48,1.1718749999999998
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Rebounds,10,,,1000.0,,,1100.0,850.0,,FanDuel,1100.0,12.0,10.25,1.170731707317073
Indiana Pacers @ Phoenix Suns,Devin Booker,Rebounds,8,,,,960.0,1000.0,1000.0,700.0,700.0,ESPNBET,1000.0,11.0,9.4,1.1702127659574468
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Points,15,650.0,,475.0,640.0,550.0,540.0,500.0,,BetMGM,650.0,7.5,6.409999999999999,1.170046801872075
Indiana Pacers @ Phoenix Suns,Aaron Nesmith,Rebounds,7,250.0,,270.0,343.0,,,270.0,325.0,DraftKings,343.0,4.43,3.7875,1.1696369636963695
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Assists,12,,,,1340.0,,1200.0,,1500.0,HardRockBet,1500.0,16.0,13.7,1.1678832116788322
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Rebounds,10,550.0,,475.0,580.0,,480.0,425.0,,DraftKings,580.0,6.8,5.825,1.1673819742489269
Indiana Pacers @ Phoenix Suns,Devin Booker,Assists,14,,,,2000.0,,1700.0,,,DraftKings,2000.0,21.0,18.0,1.1666666666666667
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Assists,8,,,,,,1700.0,,2000.0,HardRockBet,2000.0,21.0,18.0,1.1666666666666667
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Rebounds,8,,260.0,,345.0,340.0,370.0,270.0,300.0,FanDuel,370.0,4.7,4.03,1.1662531017369726
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Rebounds,10,175.0,143.0,140.0,138.0,,128.0,130.0,,BetMGM,175.0,2.75,2.3579999999999997,1.166242578456319
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Threes,7,,,1400.0,1780.0,1400.0,1500.0,,1750.0,DraftKings,1780.0,18.8,16.125,1.165891472868217
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Points,15,240.0,230.0,230.0,299.0,,265.0,230.0,260.0,DraftKings,299.0,3.99,3.4250000000000003,1.164963503649635
Indiana Pacers @ Phoenix Suns,Jarace Walker,Rebounds,6,,215.0,,232.0,250.0,285.0,225.0,,FanDuel,285.0,3.85,3.3049999999999997,1.1649016641452345
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Rebounds,14,,185.0,,263.0,,250.0,200.0,,DraftKings,263.0,3.63,3.1166666666666667,1.164705882352941
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Rebounds,8,,,,700.0,,700.0,475.0,,DraftKings,700.0,8.0,6.875,1.1636363636363636
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Rebounds,5,,,,493.0,,,425.0,550.0,HardRockBet,550.0,6.5,5.59,1.1627906976744187
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Steals,2,,175.0,,125.0,,148.0,,,BetRivers,175.0,2.75,2.365,1.1627906976744184
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Points,25,950.0,,800.0,1040.0,,1060.0,700.0,1000.0,FanDuel,1060.0,11.6,9.98,1.162324649298597
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Assists,5,170.0,,130.0,135.0,,,130.0,135.0,BetMGM,170.0,2.7,2.325,1.1612903225806452
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Rebounds,6,,,,670.0,650.0,630.0,425.0,550.0,DraftKings,670.0,7.7,6.6375,1.1600753295668549
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Rebounds,6,,,,378.0,375.0,420.0,340.0,300.0,FanDuel,420.0,5.2,4.4825,1.1600669269380925
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Rebounds,7,,,205.0,226.0,,,200.0,260.0,HardRockBet,260.0,3.6,3.103333333333333,1.160042964554243
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Points,20,,,1200.0,1640.0,,1500.0,,1500.0,DraftKings,1640.0,17.4,15.0,1.16
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Points,40,875.0,,650.0,880.0,,750.0,750.0,700.0,DraftKings,880.0,9.8,8.45,1.1597633136094676
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Rebounds,4,,110.0,,106.0,,112.0,100.0,140.0,HardRockBet,140.0,2.4,2.0700000000000003,1.1594202898550723
Indiana Pacers @ Phoenix Suns,Grayson Allen,Assists,8,,,,1040.0,,900.0,750.0,1000.0,DraftKings,1040.0,11.4,9.833333333333334,1.159322033898305
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Threes,4,400.0,,425.0,481.0,,520.0,,,FanDuel,520.0,6.2,5.353333333333333,1.1581569115815693
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Threes,6,,,1800.0,2100.0,,1800.0,,,DraftKings,2100.0,22.0,19.0,1.1578947368421053
Toronto Raptors @ Cleveland Cavaliers,Collin Murray-Boyles,Points,15,725.0,,,730.0,,630.0,500.0,,DraftKings,730.0,8.3,7.183333333333334,1.1554524361948957
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Assists,5,,,,1720.0,,,,2000.0,HardRockBet,2000.0,21.0,18.2,1.153846153846154
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Threes,5,,,850.0,880.0,,950.0,,700.0,FanDuel,950.0,10.5,9.1,1.153846153846154
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Assists,5,,,,1720.0,,,,2000.0,HardRockBet,2000.0,21.0,18.2,1.153846153846154
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Rebounds,12,,,,,1200.0,1400.0,,,FanDuel,1400.0,15.0,13.0,1.1538461538461537
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Assists,7,280.0,,230.0,234.0,,,225.0,230.0,BetMGM,280.0,3.8,3.2975000000000003,1.1523881728582257
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Points,30,,,1100.0,1340.0,,1300.0,900.0,1300.0,DraftKings,1340.0,14.4,12.5,1.1520000000000001
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Rebounds,12,,,,610.0,,700.0,600.0,575.0,FanDuel,700.0,8.0,6.95,1.1510791366906474
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Rebounds,10,625.0,,725.0,630.0,650.0,630.0,550.0,,Bovada,725.0,8.25,7.17,1.1506276150627615
Toronto Raptors @ Cleveland Cavaliers,Donovan Mitchell,Rebounds,8,,,,720.0,,750.0,550.0,650.0,FanDuel,750.0,8.5,7.3999999999999995,1.1486486486486487
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Threes,3,,,,1380.0,,,,1600.0,HardRockBet,1600.0,17.0,14.8,1.1486486486486487
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Points,40,,,1000.0,1280.0,1100.0,1100.0,,1300.0,HardRockBet,1300.0,14.0,12.2,1.1475409836065575
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Threes,4,220.0,,330.0,359.0,,350.0,,,DraftKings,359.0,4.59,4.0,1.1475
Atlanta Hawks @ Utah Jazz,Keyonte George,Assists,10,450.0,,550.0,587.0,,520.0,475.0,,DraftKings,587.0,6.87,5.9875,1.1473903966597079
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Threes,7,,,2500.0,,2000.0,2500.0,,2000.0,Bovada,2500.0,26.0,22.666666666666668,1.1470588235294117
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Points,20,280.0,255.0,285.0,339.0,,350.0,270.0,325.0,FanDuel,350.0,4.5,3.9233333333333333,1.146983857264231
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Assists,6,,285.0,,290.0,,340.0,300.0,260.0,FanDuel,340.0,4.4,3.8375,1.1465798045602607
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Threes,3,350.0,290.0,305.0,259.0,,310.0,,300.0,BetMGM,350.0,4.5,3.928,1.145621181262729
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Threes,5,400.0,270.0,360.0,371.0,375.0,420.0,,350.0,FanDuel,420.0,5.2,4.543333333333333,1.1445341159207632
Indiana Pacers @ Phoenix Suns,Jarace Walker,Points,15,400.0,,320.0,327.0,350.0,370.0,320.0,,BetMGM,400.0,5.0,4.374,1.1431184270690444
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Threes,3,240.0,250.0,250.0,321.0,285.0,285.0,,325.0,HardRockBet,325.0,4.25,3.7183333333333337,1.1429852084267145
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Double-Double,Yes,,,3300.0,3900.0,,3500.0,,,DraftKings,3900.0,40.0,35.0,1.1428571428571428
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Rebounds,12,,,,,,1300.0,,1500.0,HardRockBet,1500.0,16.0,14.0,1.1428571428571428
