event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
Pittsburgh Steelers @ Cincinnati Bengals,Cincinnati Bengals Defense,AnytimeTD,Anytime,,,,,,950.0,,,,FanDuel,950.0,10.5,,
Pittsburgh Steelers @ Cincinnati Bengals,DK Metcalf,Receiving,25,,,,,,,,-1000.0,,HardRockBet,-1000.0,1.1,,
Pittsburgh Steelers @ Cincinnati Bengals,DK Metcalf,Receiving,50,,,,,,,,-225.0,,HardRockBet,-225.0,1.4444444444444444,,
Pittsburgh Steelers @ Cincinnati Bengals,DK Metcalf,Receiving,80,,,,,,,,150.0,,HardRockBet,150.0,2.5,,
Pittsburgh Steelers @ Cincinnati Bengals,Darius Slay,AnytimeTD,Anytime,,,,,,,,3000.0,,HardRockBet,3000.0,31.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Geno Stone,AnytimeTD,Anytime,,,,,,,,5000.0,,HardRockBet,5000.0,51.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Ja'Marr Chase,Receiving,25,,,,-1800.0,,,,,,DraftKings,-1800.0,1.0555555555555556,,
Pittsburgh Steelers @ Cincinnati Bengals,Jalen Ramsey,AnytimeTD,Anytime,,,,,,,,5000.0,,HardRockBet,5000.0,51.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Jaylen Warren,Receiving,25,,,,,,,,140.0,,HardRockBet,140.0,2.4,,
Pittsburgh Steelers @ Cincinnati Bengals,Jaylen Warren,Receiving,50,,,,,,,,600.0,,HardRockBet,600.0,7.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Joey Porter Jr.,AnytimeTD,Anytime,,,,,,,,3000.0,,HardRockBet,3000.0,31.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Juan Thornhill,AnytimeTD,Anytime,,,,,,,,5000.0,,HardRockBet,5000.0,51.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Kenneth Gainwell,Rushing,80,,,,,2000.0,,,,,ESPNBET,2000.0,21.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Mike Gesicki,AnytimeTD,Anytime,,,,,,,500.0,,,Fanatics,500.0,6.0,,
Pittsburgh Steelers @ Cincinnati Bengals,No Scorer,AnytimeTD,Anytime,,,,,,,3000.0,,,Fanatics,3000.0,31.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Noah Fant,Receiving,110,,,,4000.0,,,,,,DraftKings,4000.0,41.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Patrick Queen,AnytimeTD,Anytime,,,,,,,,4000.0,,HardRockBet,4000.0,41.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Payton Wilson,AnytimeTD,Anytime,,,,,,,,4000.0,,HardRockBet,4000.0,41.0,,
Pittsburgh Steelers @ Cincinnati Bengals,Pittsburgh Steelers Defense,AnytimeTD,Anytime,,,,,,550.0,,,,FanDuel,550.0,6.5,,
Pittsburgh Steelers @ Cincinnati Bengals,T.J. Watt,AnytimeTD,Anytime,,,,,,,,5000.0,,HardRockBet,5000.0,51.0,,
