event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
Pittsburgh Steelers @ Cincinnati Bengals,Ja'Marr Chase,Receiving,110,350.0,375.0,350.0,379.0,375.0,390.0,,,350.0,FanDuel,390.0,4.9,4.631666666666667,1.057934508816121
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Rushing,50,130.0,140.0,,116.0,125.0,140.0,,,130.0,Bovada,140.0,2.4,2.282,1.0517090271691498
Los Angeles Rams @ Jacksonville Jaguars,Travis Etienne Jr.,AnytimeTD,Anytime,,,105.0,115.0,,,115.0,-105.0,,DraftKings,115.0,2.15,2.0507936507936506,1.048374613003096
Pittsburgh Steelers @ Cincinnati Bengals,Ja'Marr Chase,Receiving,80,120.0,130.0,115.0,124.0,125.0,132.0,,,120.0,FanDuel,132.0,2.3200000000000003,2.223333333333333,1.0434782608695654
Pittsburgh Steelers @ Cincinnati Bengals,Jaylen Warren,Rushing,50,-137.0,-130.0,-134.0,-134.0,-130.0,-122.0,,-135.0,-137.0,FanDuel,-122.0,1.819672131147541,1.7473705153190937,1.0413773811533291
Indianapolis Colts @ Los Angeles Chargers,Ladd McConkey,AnytimeTD,Anytime,,,,150.0,,,160.0,,,Fanatics,160.0,2.6,2.5,1.04
Los Angeles Rams @ Jacksonville Jaguars,Brian Thomas Jr,AnytimeTD,Anytime,,,160.0,165.0,,,170.0,155.0,,Fanatics,170.0,2.7,2.6,1.0384615384615385
Pittsburgh Steelers @ Cincinnati Bengals,Ja'Marr Chase,Receiving,50,-335.0,-300.0,-275.0,-318.0,-325.0,-300.0,,,-335.0,Caesars,-275.0,1.3636363636363638,1.3143065514228567,1.0375329577107435
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Rushing,80,,575.0,,544.0,550.0,580.0,,,,FanDuel,580.0,6.8,6.5633333333333335,1.036058913153885
Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Receiving,80,380.0,375.0,350.0,365.0,350.0,360.0,,,380.0,BetRivers,380.0,4.8,4.633333333333334,1.0359712230215825
Pittsburgh Steelers @ Cincinnati Bengals,Kenneth Gainwell,Rushing,50,,500.0,,,500.0,520.0,,,,FanDuel,520.0,6.2,6.0,1.0333333333333334
Pittsburgh Steelers @ Cincinnati Bengals,Noah Fant,Receiving,25,,-175.0,,-160.0,,-174.0,,,,DraftKings,-160.0,1.625,1.5730706075533663,1.0330114822546972
